Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu102,Zotu102,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,uncultured_bacterium,Zotu102,0.000242,61,2,63
Zotu1,Zotu1,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,uncultured_Georgfuchsia,Zotu1,0.059352,25,0,25
Zotu100,Zotu100,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA,Zotu100,0.002491,42,0,42
Zotu1025,Zotu1025,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_roseiflava,Zotu1025,0.000641,18,1,19
Zotu1011,Zotu1011,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu1011,0.000581,8,0,8
Zotu103,Zotu103,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu103,0.006169,4,1,5
Zotu101,Zotu101,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu101,0.004581,2,0,2
Zotu1033,Zotu1033,,other,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Meiothermus,uncultured_bacterium,Zotu1033,0.000297,51,1,52
Zotu1026,Zotu1026,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1026,0.000578,33,0,33
Zotu1041,Zotu1041,,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacterales,BBMC-4,uncultured_Leptospira,Zotu1041,0.000515,4,1,5
Zotu1016,Zotu1016,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1016,0.001026,7,0,7
Zotu10430,Zotu10430,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu10430,0.00029,14,1,15
Zotu10300,Zotu10300,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu10300,0.000349,10,0,10
Zotu1052,Zotu1052,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,uncultured_bacterium,Zotu1052,0.000676,27,1,28
Zotu1063,Zotu1063,,other,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_bacterium,Zotu1063,0.000434,59,4,63
Zotu1064,Zotu1064,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu1064,0.00019,64,3,67
Zotu1035,Zotu1035,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,uncultured_soil,Zotu1035,0.000349,8,0,8
Zotu1036,Zotu1036,,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,uncultured_bacterium,Zotu1036,0.000166,59,0,59
Zotu109,Zotu109,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,NA,Zotu109,0.000273,3,1,4
Zotu107,Zotu107,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu107,0.000326,2,0,2
Zotu1092,Zotu1092,,other,Bacteria,FCPU426,FCPU426,FCPU426,FCPU426,FCPU426,metagenome,Zotu1092,0.000278,41,2,43
Zotu1097,Zotu1097,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,denitrifying_bacterium,Zotu1097,0.000134,7,1,8
Zotu113,Zotu113,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu113,0.000202,23,1,24
Zotu1134,Zotu1134,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1134,0.000201,43,3,46
Zotu1136,Zotu1136,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,uncultured_bacterium,Zotu1136,0.000151,11,3,14
Zotu1057,Zotu1057,,other,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_idahonensis,Zotu1057,0.000165,2,0,2
Zotu114,Zotu114,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu114,0.000129,53,2,55
Zotu1147,Zotu1147,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu1147,0.000253,28,2,30
Zotu115,Zotu115,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,NA,Zotu115,0.001867,16,2,18
Zotu1151,Zotu1151,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas_sp.,Zotu1151,0.000126,97,9,106
Zotu1155,Zotu1155,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_roseiflava,Zotu1155,0.00057,14,4,18
Zotu11729,Zotu11729,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu11729,0.001651,26,4,30
Zotu11141,Zotu11141,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu11141,0.000117,10,0,10
Zotu1142,Zotu1142,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu1142,0.000116,15,0,15
Zotu11736,Zotu11736,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,uncultured_bacterium,Zotu11736,0.000187,12,2,14
Zotu118,Zotu118,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomicrobium,uncultured_bacterium,Zotu118,0.000272,12,2,14
Zotu1182,Zotu1182,,other,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,OPB41,OPB41,NA,Zotu1182,0.000109,4,1,5
Zotu1188,Zotu1188,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,uncultured,NA,Zotu1188,0.000143,4,1,5
Zotu1198,Zotu1198,,other,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Herbinix,uncultured_bacterium,Zotu1198,0.000234,34,8,42
Zotu11993,Zotu11993,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu11993,0.000241,11,5,16
Zotu1207,Zotu1207,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1207,0.000429,40,4,44
Zotu1208,Zotu1208,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,NA,Zotu1208,0.000105,38,5,43
Zotu121,Zotu121,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,NA,Zotu121,0.001143,0,1,1
Zotu12105,Zotu12105,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu12105,0.000232,8,3,11
Zotu10065,Zotu10065,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu10065,0.000992,13,0,13
Zotu1227,Zotu1227,,other,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA,Zotu1227,0.000173,14,1,15
Zotu123,Zotu123,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu123,0.002766,38,6,44
Zotu12,Zotu12,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Sideroxydans,NA,Zotu12,0.024936,8,0,8
Zotu12411,Zotu12411,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu12411,0.000107,5,1,6
Zotu125,Zotu125,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira-Sulfurivermis,uncultured_bacterium,Zotu125,0.000167,20,1,21
Zotu1251,Zotu1251,,other,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA,NA,Zotu1251,0.000106,36,4,40
Zotu1260,Zotu1260,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,uncultured_soil,Zotu1260,0.000237,3,2,5
Zotu1030,Zotu1030,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu1030,0.000336,1,0,1
Zotu1276,Zotu1276,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA,Zotu1276,0.000182,17,4,21
Zotu12783,Zotu12783,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu12783,0.000287,21,7,28
Zotu12798,Zotu12798,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,uncultured_bacterium,Zotu12798,0.000104,5,3,8
Zotu128,Zotu128,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu128,0.001496,11,2,13
Zotu1296,Zotu1296,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Minicystis,uncultured_bacterium,Zotu1296,0.000131,16,2,18
Zotu1299,Zotu1299,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,metagenome,Zotu1299,0.000108,0,1,1
Zotu127,Zotu127,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu127,0.001613,2,0,2
Zotu13,Zotu13,,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Leptonema,NA,Zotu13,0.018989,1,1,2
Zotu1312,Zotu1312,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA,Zotu1312,0.000194,44,8,52
Zotu1313,Zotu1313,,other,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,Subgroup_7,uncultured_Acidobacteriales,Zotu1313,0.000116,29,4,33
Zotu132,Zotu132,,other,Bacteria,Bacteroidota,SJA-28,SJA-28,SJA-28,SJA-28,uncultured_bacterium,Zotu132,0.000284,43,2,45
Zotu13236,Zotu13236,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu13236,0.000608,20,7,27
Zotu133,Zotu133,,other,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae,uncultured_bacterium,Zotu133,0.000284,2,1,3
Zotu1331,Zotu1331,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,uncultured_bacterium,Zotu1331,0.000409,70,13,83
Zotu135,Zotu135,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,uncultured_soil,Zotu135,0.000593,57,10,67
Zotu1358,Zotu1358,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA,Zotu1358,0.000448,7,3,10
Zotu13667,Zotu13667,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,NA,Zotu13667,0.000105,10,4,14
Zotu13670,Zotu13670,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,uncultured_soil,Zotu13670,0.000163,2,2,4
Zotu13684,Zotu13684,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu13684,0.00013,0,1,1
Zotu137,Zotu137,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,NA,Zotu137,0.00015,0,1,1
Zotu1018,Zotu1018,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,uncultured_bacterium,Zotu1018,0.000121,6,0,6
Zotu1382,Zotu1382,,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible_genus_04,uncultured_bacterium,Zotu1382,0.000216,35,8,43
Zotu1386,Zotu1386,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu1386,0.000229,6,5,11
Zotu1389,Zotu1389,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas_sp.,Zotu1389,0.000136,43,11,54
Zotu14,Zotu14,,other,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,uncultured_prokaryote,Zotu14,0.00175,74,11,85
Zotu140,Zotu140,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,NA,Zotu140,0.002096,25,5,30
Zotu10,Zotu10,,other,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,uncultured_bacterium,Zotu10,0.002005,9,0,9
Zotu1359,Zotu1359,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,NA,Zotu1359,0.000146,5,0,5
Zotu1400,Zotu1400,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,uncultured_bacterium,Zotu1400,0.0003,8,1,9
Zotu14053,Zotu14053,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,NA,Zotu14053,0.00041,28,8,36
Zotu14058,Zotu14058,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,NA,Zotu14058,0.000266,2,2,4
Zotu141,Zotu141,,other,Bacteria,Bacteroidota,SJA-28,SJA-28,SJA-28,SJA-28,uncultured_bacterium,Zotu141,0.000168,33,8,41
Zotu14156,Zotu14156,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,myxobacterium_KC,Zotu14156,0.000246,7,2,9
Zotu1416,Zotu1416,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,uncultured_soil,Zotu1416,0.00015,14,2,16
Zotu14179,Zotu14179,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu14179,0.000264,9,6,15
Zotu14275,Zotu14275,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu14275,0.001356,5,3,8
Zotu1451,Zotu1451,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu1451,0.000162,5,4,9
Zotu1465,Zotu1465,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,uncultured_bacterium,Zotu1465,0.000373,54,11,65
Zotu14682,Zotu14682,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu14682,0.00233,14,10,24
Zotu1476,Zotu1476,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu1476,0.000109,18,7,25
Zotu1482,Zotu1482,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_bacterium,Zotu1482,0.000131,21,8,29
Zotu15,Zotu15,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu15,0.023324,9,1,10
Zotu150,Zotu150,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,Bacteroidetes_vadinHA17,uncultured_bacterium,Zotu150,0.000171,11,4,15
Zotu1512,Zotu1512,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu1512,0.001018,2,4,6
Zotu152,Zotu152,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Vulgatibacteraceae,Vulgatibacter,NA,Zotu152,0.003242,7,2,9
Zotu1323,Zotu1323,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,NA,Zotu1323,0.000743,11,0,11
Zotu13752,Zotu13752,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu13752,0.000199,5,0,5
Zotu1533,Zotu1533,,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible_genus_04,uncultured_bacterium,Zotu1533,0.000236,42,16,58
Zotu15394,Zotu15394,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,uncultured_bacterium,Zotu15394,0.000656,16,4,20
Zotu1362,Zotu1362,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured_bacterium,Zotu1362,0.000233,3,0,3
Zotu15453,Zotu15453,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu15453,0.000218,6,1,7
Zotu1549,Zotu1549,,other,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,NA,Zotu1549,0.001407,8,7,15
Zotu1550,Zotu1550,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,NA,NA,Zotu1550,0.000202,27,5,32
Zotu157,Zotu157,,other,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,uncultured_bacterium,Zotu157,0.003616,32,12,44
Zotu1578,Zotu1578,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,NA,Zotu1578,0.0002,11,4,15
Zotu15992,Zotu15992,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,myxobacterium_KC,Zotu15992,0.000487,4,3,7
Zotu16,Zotu16,,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacterales,BBMC-4,uncultured_microorganism,Zotu16,0.016648,32,14,46
Zotu158,Zotu158,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,metagenome,Zotu158,0.001118,7,0,7
Zotu16045,Zotu16045,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured,NA,Zotu16045,0.000341,8,14,22
Zotu161,Zotu161,,other,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,NA,Zotu161,0.000148,30,8,38
Zotu16105,Zotu16105,,other,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_Nitrospira,Zotu16105,0.000206,1,2,3
Zotu16172,Zotu16172,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured,uncultured_bacterium,Zotu16172,0.001754,22,7,29
Zotu162,Zotu162,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,NA,Zotu162,0.000333,30,7,37
Zotu16255,Zotu16255,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA,Zotu16255,0.000108,1,3,4
Zotu16155,Zotu16155,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu16155,0.000107,2,0,2
Zotu1642,Zotu1642,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu1642,0.000204,11,9,20
Zotu16462,Zotu16462,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu16462,0.000126,6,6,12
Zotu165,Zotu165,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu165,0.004848,17,9,26
Zotu1650,Zotu1650,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,NA,NA,Zotu1650,0.000135,4,3,7
Zotu166,Zotu166,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,uncultured,NA,Zotu166,0.00018,15,7,22
Zotu16601,Zotu16601,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,NA,Zotu16601,0.000572,43,19,62
Zotu16602,Zotu16602,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu16602,0.000128,0,1,1
Zotu16621,Zotu16621,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,uncultured_bacterium,Zotu16621,0.000845,5,9,14
Zotu1666,Zotu1666,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Parvibium,uncultured_proteobacterium,Zotu1666,0.000373,22,8,30
Zotu167,Zotu167,,other,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium,Zotu167,0.000272,1,1,2
Zotu16859,Zotu16859,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Sideroxydans,NA,Zotu16859,0.000139,0,2,2
Zotu169,Zotu169,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured_bacterium,Zotu169,0.001537,6,2,8
Zotu1690,Zotu1690,,other,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloronema,uncultured_bacterium,Zotu1690,0.000103,7,3,10
Zotu17,Zotu17,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella,NA,Zotu17,0.012559,4,5,9
Zotu170,Zotu170,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu170,0.002234,1,1,2
Zotu1702,Zotu1702,,other,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Herbinix,uncultured_bacterium,Zotu1702,0.000137,55,12,67
Zotu174,Zotu174,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu174,0.003561,20,7,27
Zotu1742,Zotu1742,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,uncultured_bacterium,Zotu1742,0.000141,17,11,28
Zotu1553,Zotu1553,,other,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Kouleothrix,uncultured_bacterium,Zotu1553,0.000118,5,0,5
Zotu175,Zotu175,,other,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,NA,Zotu175,0.000335,3,3,6
Zotu1756,Zotu1756,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,uncultured,uncultured_bacterium,Zotu1756,0.000152,1,2,3
Zotu17720,Zotu17720,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Leeiaceae,Leeia,NA,Zotu17720,0.001894,29,13,42
Zotu1776,Zotu1776,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,NA,Zotu1776,0.000112,1,1,2
Zotu178,Zotu178,,other,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,uncultured_proteobacterium,Zotu178,0.000202,38,15,53
Zotu1783,Zotu1783,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,NA,Zotu1783,0.00025,25,10,35
Zotu179,Zotu179,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu179,0.000839,6,7,13
Zotu1791,Zotu1791,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu1791,0.000423,6,8,14
Zotu182,Zotu182,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,NA,Zotu182,0.000524,3,1,4
Zotu129,Zotu129,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu129,0.001229,4,0,4
Zotu183,Zotu183,,other,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,NA,Zotu183,0.001519,19,7,26
Zotu1870,Zotu1870,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Propionivibrio,uncultured_bacterium,Zotu1870,0.000278,8,5,13
Zotu19,Zotu19,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu19,0.010005,0,1,1
Zotu1909,Zotu1909,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Vogesella,uncultured_bacterium,Zotu1909,0.000175,10,9,19
Zotu191,Zotu191,,other,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,NA,NA,Zotu191,0.000607,5,5,10
Zotu1929,Zotu1929,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1929,0.000273,16,11,27
Zotu193,Zotu193,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,NA,Zotu193,0.001249,27,9,36
Zotu1941,Zotu1941,,other,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,Juncus_effusus,Zotu1941,0.000257,27,12,39
Zotu195,Zotu195,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,uncultured,metagenome,Zotu195,0.000893,31,23,54
Zotu1957,Zotu1957,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,NA,Zotu1957,0.0003,6,6,12
Zotu1944,Zotu1944,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_soil,Zotu1944,0.000128,3,0,3
Zotu197,Zotu197,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2,NA,Zotu197,0.000713,0,1,1
Zotu200,Zotu200,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu200,0.001802,20,12,32
